Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_1_j_B,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_13_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Dante Exum,Substitution out,1891,11,B,AUS,1,1,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Will Magnay,Substitution out,1891,22,B,AUS,1,1,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:31,Dwight Powell,Substitution in,1891,7,A,CAN,1,2,0.0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Dyson Daniels,Substitution in,1891,1,B,AUS,1,2,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Jock Landale,Substitution in,1891,13,B,AUS,1,2,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Nick Kay,Substitution in,1891,15,B,AUS,1,2,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:26,Trey Lyles,personal foul; 2 free throws awarded,1886,8,A,CAN,1,0,5.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:26,Jock Landale,1st of 2 free throws missed,1886,13,B,AUS,1,0,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:26,Jock Landale,foul drawn,1886,13,B,AUS,1,0,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,24,Q1,01:26,Jock Landale,2nd of 2 free throws made,1886,13,B,AUS,1,0,0.0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
