,Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_3_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_23_j_A,X_24_j_A,X_2_j_B,X_6_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_50_j_B,X_99_j_B
194,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:53,6,Cristiano Felicio,offensive rebound,1313.0,2,0.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
195,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:42,24,Dillon Brooks,personal foul,1302.0,2,11.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
196,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:42,2,Yago Santos,foul drawn,1302.0,2,0.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
197,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:42,24,Dillon Brooks,Substitution out,1302.0,2,0.0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
198,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:42,0,Luguentz Dort,Substitution in,1302.0,2,0.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
199,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:33,14,Leonardo Meindl,offensive rebound,1293.0,2,9.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
200,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:33,14,Leonardo Meindl,2pt driving layup blocked,1293.0,2,0.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
201,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:33,13,Kelly Olynyk,blocked the shot,1293.0,2,0.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
202,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:25,32,Georginho De Paula,3pt jump shot missed,1285.0,2,8.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
203,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:25,13,Kelly Olynyk,defensive rebound,1285.0,2,0.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
204,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:05,14,Leonardo Meindl,defensive rebound,1265.0,2,20.0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
