Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
1,01:44:00,Wael ARAKJI,LBN,Assist (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:35:00,RJ BARRETT,CAN,"2PtsFG fast break, Driving Layup made (7 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:35:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:20:00,Wael ARAKJI,LBN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:20:00,Kelly OLYNYK,CAN,Defensive rebound (5),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:12:00,RJ BARRETT,CAN,"2PtsFG fast break, Layup made (9 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:12:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (5),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:59:00,Kelly OLYNYK,CAN,"Personal foul (P2,T2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:59:00,Karim Raphael EZZEDINE,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:59:00,Hayk GYOKCHYAN,LBN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:59:00,Melvin EJIM,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:59:00,Trae BELL-HAYNES,CAN,Substitution,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:53:00,nan,nan,Alternating Possession Gained,,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:35:00,RJ BARRETT,CAN,"2PtsFG inside paint, Floating Jump Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:33:00,Hayk GYOKCHYAN,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:20:00,Karim ZEINOUN,LBN,"2PtsFG inside paint, Jump Shot made (7 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,00:06:00,RJ BARRETT,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
