Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,76,84,Q3,2:47,1,Nickeil Alexander-Walker,made the assist,1067.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:36,4,Tyrese Haliburton,made the assist,1056.0,3,11.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:36,9,Bobby Portis Jr,layup made,1056.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:26,9,Bobby Portis Jr,defensive rebound,1046.0,3,10.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:26,9,RJ Barrett,2pt driving layup missed,1046.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:21,15,Austin Reaves,turnover; travelling,1041.0,3,5.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:21,24,Dillon Brooks,Substitution out,1041.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:21,5,Mikal Bridges,Substitution out,1041.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:21,0,Luguentz Dort,Substitution in,1041.0,3,0.0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,84,Q3,2:21,6,Cameron Johnson,Substitution in,1041.0,3,0.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,78,87,Q3,2:08,9,RJ Barrett,made the assist,1028.0,3,13.0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0
