Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_27_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_13_j_B,X_14_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,16,Q1,03:35,Carlik Jones,made the assist,2015,4,B,SSD,1,0,11.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,16,Q1,03:35,Nuni Omot,3pt jump shot from center made,2015,5,B,SSD,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,03:12,Ognjen Dobric,turnover; travelling,1992,13,A,SRB,1,0,23.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:50,Nikola Jokic,defensive rebound,1970,15,A,SRB,1,0,22.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,16,Q1,02:50,Carlik Jones,2pt driving layup missed,1970,4,B,SSD,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:36,Nikola Jokic,turnover,1956,15,A,SRB,1,0,14.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:36,Nikola Jokic,offensive foul,1956,15,A,SRB,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,16,Q1,02:36,Wenyen Gabriel,foul drawn,1956,9,B,SSD,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:36,Filip Petrusev,Substitution out,1956,3,A,SRB,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:36,Nikola Jovic,Substitution in,1956,5,A,SRB,1,2,0.0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,16,Q1,02:24,Nikola Jovic,personal foul; 2 free throws awarded,1944,5,A,SRB,1,0,12.0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,18,Q1,02:24,Nuni Omot,2nd of 2 free throws made,1944,5,B,SSD,1,0,0.0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,17,Q1,02:24,Nuni Omot,1st of 2 free throws made,1944,5,B,SSD,1,0,0.0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
